학교명,지역,시도,도로명주소(작성),위도lat(작성),경도lng(작성)
북서울중학교,도봉구,서울시,,,
풍양중학교,남양주시,경기도,,,
월계중학교,노원구,서울시,,,
장안중학교,중랑구,서울시,,,
방학중학교,도봉구,서울시,,,
공릉중학교,노원구,서울시,,,
갈매중학교,구리시,경기도,,,
별가람중학교,남양주시,경기도,,,
오남중학교,남양주시,경기도,,,
원묵중학교,중랑구,서울시,,,
인창중학교,구리시,경기도,,,
심석중학교,남양주시,경기도,,,
상봉중학교,중랑구,서울시,,,
남양주다산중학교,남양주시,경기도,,,
중화중학교,중랑구,서울시,,,
한천중학교,노원구,서울시,,,
하계중학교,노원구,서울시,,,
석관중학교,성북구,서울시,,,
태릉중학교,중랑구,서울시,,,
용곡중학교,광진구,서울시,,,
남대문중학교,성북구,서울시,,,
동국대학교사범대학부속중학교,동대문구,서울시,,,
휘경중학교,동대문구,서울시,,,
평내중학교,남양주시,경기도,,,
노일중학교,노원구,서울시,,,
광장중학교,광진구,서울시,,,
동구중학교,구리시,경기도,,,
도봉중학교,도봉구,서울시,,,
화광중학교,남양주시,경기도,,,
재현중학교,노원구,서울시,,,
청원중학교,노원구,서울시,,,
면목중학교,중랑구,서울시,,,
신도봉중학교,도봉구,서울시,,,
별내중학교,남양주시,경기도,,,
동원중학교,중랑구,서울시,,,
녹천중학교,노원구,서울시,,,
백운중학교,도봉구,서울시,,,
퇴계원중학교,남양주시,경기도,,,
금곡중학교,남양주시,경기도,,,
동구중학교,구리시,경기도,,,
중원중학교,노원구,서울시,,,
마석중학교,남양주시,경기도,,,
한별중학교,남양주시,경기도,,,
신현중학교,중랑구,서울시,,,
능곡중학교,고양시,경기도,,,
구리중학교,구리시,경기도,,,
노원중학교,노원구,서울시,,,
용마중학교,중랑구,서울시,,,
도농중학교,남양주시,경기도,,,
상계중,노원구,서울시,,,
고덕중학교,강동구,서울시,,,
판곡중학교,남양주시,경기도,,,
진건중학교,남양주시,경기도,,,
진접중학교,남양주시,경기도,,,
봉화중,중랑구,서울시,,,
옥빛중학교,양주시,경기도,,,
어람중학교,남양주시,경기도,,,
불암중학교,노원구,서울시,,,
서라벌중학교,강북구,서울시,,,
솔샘중학교,강북구,서울시,,,
양오중학교,남양주시,경기도,,,
상명중학교,노원구,서울시,,,
중평중학교,노원구,서울시,,,
미금중학교,남양주시,경기도,,,
상계제일중학교,노원구,서울시,,,
창일중학교,도봉구,서울시,,,
청림중학교,화성시,경기도,,,
중계중학교,노원구,서울시,,,
호평중학교,남양주시,경기도,,,
경희중학교,동대문구,서울시,,,
옥정중학교,양주시,경기도,,,
산내중학교,파주시,경기도,,,
광릉중학교,남양주시,경기도,,,
번동중학교,강북구,서울시,,,
신방학중학교,도봉구,서울시,,,
삼숭중학교,양주시,경기도,,,
다산새봄중학교,남양주시,경기도,,,
토평중학교,구리시,경기도,,,
자양중학교,광진구,서울시,,,
장내중학교,남양주시,경기도,,,
덕계중학교,양주시,경기도,,,
광동중학교,남양주시,경기도,,,
충의중학교,의정부시,경기도,,,
을지중학교,노원구,서울시,,,
와부중학교,남양주시,경기도,,,
양주백석중학교,양주시,경기도,,,
교문중학교,구리시,경기도,,,
효문중학교,도봉구,서울시,,,
송라중학교,남양주시,경기도,,,
강동중학교,강동구,서울시,,,
성남서중학교,성남시,경기도,,,
광양중학교,광진구,서울시,,,
예봉중학교,남양주시,경기도,,,
상경중학교,노원구,서울시,,,
온곡중학교,노원구,서울시,,,
개봉중학교,구로구,서울시,,,
덕현중학교,양주시,경기도,,,
장자중학교,구리시,경기도,,,
성사중학교,고양시,경기도,,,
수송중학교,강북구,서울시,,,
주곡중학교,남양주시,경기도,,,
수락중학교,노원구,서울시,,,
염광중학교,노원구,서울시,,,
송양중학교,의정부시,경기도,,,
솔뫼중학교,의정부시,경기도,,,
천마중학교,남양주시,경기도,,,
선덕중학교,도봉구,서울시,,,
장위중학교,성북구,서울시,,,
상원중학교,노원구,서울시,,,
동대문중학교,동대문구,서울시,,,
남문중학교,양주시,경기도,,,
성일중학교,동대문구,서울시,,,
신일중학교,강북구,서울시,,,
태랑중학교,노원구,서울시,,,
창동중학교,도봉구,서울시,,,
동화중학교,남양주시,경기도,,,
장평중학교,동대문구,서울시,,,
길음중학교,성북구,서울시,,,
가운중학교,남양주시,경기도,,,
수유중학교,강북구,서울시,,,
구의중학교,광진구,서울시,,,
다산한강중학교,남양주시,경기도,,,
수동중학교,남양주시,경기도,,,
인수중학교,강북구,서울시,,,
숭곡중학교,성북구,서울시,,,
동암중학교,의정부시,경기도,,,
화접중학교,남양주시,경기도,,,
노곡중학교,도봉구,서울시,,,
태랑중학교,노원구,서울시,,,
덕소중학교,남양주시,경기도,,,
창북중학교,도봉구,서울시,,,
광운중학교,노원구,서울시,,,
전동중학교,동대문구,서울시,,,
월곡중학교,성북구,서울시,,,
영북중학교,포천시,경기도,,,
중랑중학교,중랑구,서울시,,,
북악중학교,성북구,서울시,,,
경민중학교,의정부시,경기도,,,
신창중학교,노원구,서울시,,,
신상중학교,노원구,서울시,,,
화계중학교,강북구,서울시,,,
강북중학교,강북구,서울시,,,
하랑중학교,남양주시,경기도,,,
다온중학교,의정부시,경기도,,,
